,node,type,generative_count,generative_probability,receptive_count,receptive_probability
0,1,1,20.0,1.0,27.0,0.9
1,1,-1,0.0,0.0,3.0,0.1
2,2,1,3.0,0.75,22.0,0.9565217391304348
3,2,-1,1.0,0.25,1.0,0.043478260869565216
4,3,1,57.0,0.6477272727272727,0.0,0.0
5,3,-1,31.0,0.3522727272727273,0.0,0.0
6,4,-1,20.0,0.6896551724137931,0.0,0.0
7,4,1,9.0,0.3103448275862069,0.0,0.0
8,5,-1,1.0,0.045454545454545456,0.0,0.0
9,5,1,21.0,0.9545454545454546,0.0,0.0
10,6,-1,50.0,0.16722408026755853,1.0,0.05555555555555555
11,6,1,249.0,0.8327759197324415,17.0,0.9444444444444444
12,7,-1,5.0,0.20833333333333334,0.0,0.0
13,7,1,19.0,0.7916666666666666,0.0,0.0
14,8,-1,22.0,0.12290502793296089,18.0,0.4186046511627907
15,8,1,157.0,0.8770949720670391,25.0,0.5813953488372093
16,9,-1,8.0,0.1,0.0,0.0
17,9,1,72.0,0.9,0.0,0.0
18,10,1,72.0,0.8372093023255814,9.0,0.6
19,10,-1,14.0,0.16279069767441862,6.0,0.4
20,11,1,690.0,0.9336941813261164,0.0,0.0
21,11,-1,49.0,0.06630581867388363,0.0,0.0
22,12,-1,15.0,0.23076923076923078,0.0,0.0
23,12,1,50.0,0.7692307692307693,0.0,0.0
24,13,-1,3.0,0.2727272727272727,0.0,0.0
25,13,1,8.0,0.7272727272727273,0.0,0.0
26,14,-1,15.0,0.13392857142857142,0.0,0.0
27,14,1,97.0,0.8660714285714286,0.0,0.0
28,15,-1,11.0,0.22,112.0,0.3111111111111111
29,15,1,39.0,0.78,248.0,0.6888888888888889
30,16,1,15.0,1.0,0.0,0.0
31,17,-1,6.0,0.13333333333333333,0.0,0.0
32,17,1,39.0,0.8666666666666667,0.0,0.0
33,18,-1,4.0,0.3333333333333333,0.0,0.0
34,18,1,8.0,0.6666666666666666,0.0,0.0
35,19,-1,0.0,0.0,3.0,0.13636363636363635
36,19,1,39.0,1.0,19.0,0.8636363636363636
37,20,-1,35.0,0.18716577540106952,0.0,0.0
38,20,1,152.0,0.8128342245989305,0.0,0.0
39,21,1,72.0,0.972972972972973,0.0,0.0
40,21,-1,2.0,0.02702702702702703,0.0,0.0
41,22,1,2.0,1.0,0.0,0.0
42,23,1,47.0,0.6351351351351351,21.0,0.9545454545454546
43,23,-1,27.0,0.36486486486486486,1.0,0.045454545454545456
44,24,-1,46.0,0.14935064935064934,0.0,0.0
45,24,1,262.0,0.8506493506493507,0.0,0.0
46,25,1,110.0,0.8333333333333334,86.0,0.7049180327868853
47,25,-1,22.0,0.16666666666666666,36.0,0.29508196721311475
48,26,1,7.0,1.0,40.0,1.0
49,27,-1,2.0,0.08333333333333333,2.0,0.058823529411764705
50,27,1,22.0,0.9166666666666666,32.0,0.9411764705882353
51,28,-1,1.0,0.2,7.0,0.35
52,28,1,4.0,0.8,13.0,0.65
53,29,-1,3.0,0.013636363636363636,0.0,0.0
54,29,1,217.0,0.9863636363636363,34.0,1.0
55,30,1,64.0,0.9846153846153847,109.0,1.0
56,30,-1,1.0,0.015384615384615385,0.0,0.0
57,31,1,19.0,0.95,0.0,0.0
58,31,-1,1.0,0.05,0.0,0.0
59,32,-1,2.0,0.14285714285714285,0.0,0.0
60,32,1,12.0,0.8571428571428571,14.0,1.0
61,33,-1,1.0,0.024390243902439025,10.0,0.37037037037037035
62,33,1,40.0,0.975609756097561,17.0,0.6296296296296297
63,34,-1,1.0,0.09090909090909091,0.0,0.0
64,34,1,10.0,0.9090909090909091,0.0,0.0
65,35,-1,8.0,0.08421052631578947,0.0,0.0
66,35,1,87.0,0.9157894736842105,0.0,0.0
67,36,-1,3.0,0.1,0.0,0.0
68,36,1,27.0,0.9,0.0,0.0
69,37,1,84.0,0.9438202247191011,0.0,0.0
70,37,-1,5.0,0.056179775280898875,0.0,0.0
71,38,1,4.0,1.0,0.0,0.0
72,39,1,42.0,0.9545454545454546,0.0,0.0
73,39,-1,2.0,0.045454545454545456,0.0,0.0
74,40,-1,2.0,0.25,0.0,0.0
75,40,1,6.0,0.75,0.0,0.0
76,41,-1,2.0,0.03389830508474576,0.0,0.0
77,41,1,57.0,0.9661016949152542,0.0,0.0
78,42,-1,40.0,0.2777777777777778,0.0,0.0
79,42,1,104.0,0.7222222222222222,0.0,0.0
80,43,-1,4.0,0.19047619047619047,0.0,0.0
81,43,1,17.0,0.8095238095238095,0.0,0.0
82,44,1,12.0,0.8,19.0,0.8636363636363636
83,44,-1,3.0,0.2,3.0,0.13636363636363635
