from,to,sign
0,1,-1
1,42534,-1
2,3,-1
2,94,-1
2,877,-1
2,5547,-1
2,21820,-1
3,6,-1
3,155,-1
3,230,-1
3,297,-1
3,419,-1
3,452,-1
3,478,-1
3,556,-1
3,558,-1
3,619,-1
3,690,-1
3,695,-1
3,858,-1
3,861,-1
3,863,-1
3,880,-1
3,907,-1
3,925,-1
3,933,-1
3,946,-1
3,979,-1
3,994,-1
3,997,-1
3,1032,-1
3,1033,-1
3,1041,-1
3,1043,-1
3,1046,-1
3,1055,-1
3,1075,-1
3,1082,-1
3,1113,-1
3,1253,-1
3,1284,-1
3,1313,-1
3,1374,-1
3,1377,-1
3,1435,-1
3,1472,-1
3,1575,-1
3,1600,-1
3,1615,-1
3,1724,-1
3,1810,-1
3,1834,-1
3,1838,-1
3,1985,-1
3,2206,-1
3,2234,-1
3,2267,-1
3,2446,-1
3,2589,-1
3,2593,-1
3,2619,-1
3,2650,-1
3,2665,-1
3,2749,-1
3,2805,-1
3,2852,-1
3,2923,-1
3,3109,-1
3,3122,-1
3,3140,-1
3,3183,-1
3,3234,-1
3,3387,-1
3,3460,-1
3,3483,-1
3,3524,-1
3,3565,-1
3,3730,-1
3,3842,-1
3,4196,-1
3,4586,-1
3,4848,-1
3,4865,-1
3,5008,-1
3,5028,-1
3,5086,-1
3,5107,-1
3,5347,-1
3,5377,-1
3,5437,-1
3,5515,-1
3,5517,-1
3,5565,-1
3,5629,-1
3,5645,-1
3,5702,-1
3,5894,-1
3,5955,-1
3,6194,-1
3,6260,-1
3,6393,-1
3,6396,-1
3,6537,-1
3,6563,-1
3,6780,-1
3,6787,-1
3,6845,-1
3,7056,-1
3,7201,-1
3,7219,-1
3,7701,-1
3,7762,-1
3,7902,-1
3,8151,-1
3,8210,-1
3,8222,-1
3,8235,-1
3,8253,-1
3,8272,-1
3,8362,-1
3,8364,-1
3,8382,-1
3,8396,-1
3,8407,-1
3,8549,-1
3,8569,-1
3,8753,-1
3,8927,-1
3,9791,-1
3,9978,-1
3,10044,-1
3,10143,-1
3,10456,-1
3,10473,-1
3,10624,-1
3,11013,-1
3,11214,-1
3,11471,-1
3,11503,-1
3,11755,-1
3,11976,-1
3,12065,-1
3,12376,-1
3,12417,-1
3,12419,-1
3,12593,-1
3,12599,-1
3,12622,-1
3,12623,-1
3,12690,-1
3,12759,-1
3,12915,-1
3,13010,-1
3,13021,-1
3,13873,-1
3,13914,-1
3,13970,-1
3,15851,-1
3,15871,-1
3,15887,-1
3,17513,-1
3,17787,-1
3,17788,-1
3,17789,-1
3,17817,-1
3,17983,-1
3,18033,-1
3,18109,-1
3,19864,-1
3,20029,-1
3,21847,-1
3,21853,-1
3,23022,-1
3,25048,-1
3,25064,-1
3,25363,-1
3,25563,-1
3,25572,-1
3,25579,-1
3,25586,-1
3,25615,-1
3,25617,-1
3,25922,-1
3,26765,-1
3,26825,-1
3,27129,-1
3,27132,-1
3,27141,-1
3,27507,-1
3,27744,-1
3,27746,-1
3,27748,-1
3,27750,-1
3,27753,-1
3,27754,-1
3,27755,-1
3,27763,-1
3,27769,-1
3,27771,-1
3,27772,-1
3,27993,-1
3,28329,-1
3,28330,-1
3,29442,-1
3,29447,-1
3,29481,-1
3,30083,-1
3,30095,-1
3,30097,-1
3,30103,-1
3,30387,-1
3,31357,-1
3,31763,-1
3,31777,-1
3,32244,-1
3,32257,-1
3,32572,-1
3,32628,-1
3,32801,-1
3,32849,-1
3,33047,-1
3,33146,-1
3,33167,-1
3,33238,-1
3,33262,-1
3,33286,-1
3,33314,-1
3,33431,-1
3,33645,-1
3,33669,-1
3,33713,-1
3,33722,-1
3,33767,-1
3,33909,-1
3,34021,-1
3,34045,-1
3,34109,-1
3,34118,-1
3,34165,-1
3,34174,-1
3,34179,-1
3,34191,-1
3,34194,-1
3,34222,-1
3,34232,-1
3,34244,-1
3,34258,-1
3,34282,-1
3,34287,-1
3,34353,-1
3,34374,-1
3,34377,-1
3,34420,-1
3,34461,-1
3,34514,-1
3,34574,-1
3,34638,-1
3,34712,-1
3,34776,-1
3,34788,-1
3,34856,-1
3,34875,-1
3,34897,-1
3,34912,-1
3,35020,-1
3,35044,-1
3,35088,-1
3,35098,-1
3,35102,-1
3,35234,-1
3,35252,-1
3,35270,-1
3,35279,-1
3,35315,-1
3,35322,-1
3,35442,-1
3,35461,-1
3,35498,-1
3,35549,-1
3,35631,-1
3,35640,-1
3,35683,-1
3,35747,-1
3,35866,-1
3,35897,-1
3,36055,-1
3,36085,-1
3,36112,-1
3,36117,-1
3,36126,-1
3,36185,-1
3,36200,-1
3,36209,-1
3,36311,-1
3,36361,-1
3,36383,-1
3,36555,-1
3,36560,-1
3,36602,-1
3,36671,-1
3,36768,-1
3,36937,-1
3,37118,-1
3,37134,-1
3,37135,-1
3,37149,-1
3,37172,-1
3,37212,-1
3,37228,-1
3,37359,-1
3,37360,-1
3,37368,-1
3,37371,-1
3,37381,-1
3,37540,-1
3,37543,-1
3,37637,-1
3,37652,-1
3,37662,-1
3,37680,-1
3,37711,-1
3,37746,-1
3,37948,-1
3,38029,-1
3,38058,-1
3,38060,-1
3,38061,-1
3,38062,-1
3,38066,-1
3,38079,-1
3,38094,-1
3,38114,-1
3,38132,-1
3,38136,-1
3,38162,-1
3,38189,-1
3,38191,-1
3,38212,-1
3,38214,-1
3,38242,-1
3,38243,-1
3,38247,-1
3,38292,-1
3,38318,-1
3,38328,-1
3,38347,-1
3,38360,-1
3,38395,-1
3,38457,-1
3,38566,-1
3,38581,-1
3,38604,-1
3,38665,-1
3,38734,-1
3,38740,-1
3,38752,-1
3,38766,-1
3,38767,-1
3,38768,-1
3,38818,-1
3,38820,-1
3,38827,-1
3,38838,-1
3,38843,-1
3,38853,-1
3,38955,-1
3,38964,-1
3,38975,-1
3,38976,-1
3,39021,-1
3,39046,-1
3,39069,-1
3,39075,-1
3,39140,-1
3,39212,-1
3,39287,-1
3,39330,-1
3,39458,-1
3,39513,-1
3,39556,-1
3,39629,-1
3,39720,-1
3,39822,-1
3,39827,-1
3,39828,-1
3,39875,-1
3,39965,-1
3,39969,-1
3,40002,-1
3,40017,-1
3,40063,-1
3,40088,-1
3,40127,-1
3,40210,-1
3,40296,-1
3,40299,-1
3,40305,-1
3,40326,-1
3,40327,-1
3,40360,-1
3,40395,-1
3,40399,-1
3,40428,-1
3,40448,-1
3,40460,-1
3,40481,-1
3,40493,-1
3,40511,-1
3,40537,-1
3,40544,-1
3,40548,-1
3,40556,-1
3,40558,-1
3,40563,-1
3,40601,-1
3,40625,-1
3,40649,-1
3,40655,-1
3,40660,-1
3,40688,-1
3,40690,-1
3,40701,-1
3,40823,-1
3,40837,-1
3,40904,-1
3,40931,-1
3,40935,-1
3,40966,-1
3,40991,-1
3,40992,-1
3,40997,-1
3,41194,-1
3,41221,-1
3,41222,-1
3,41223,-1
3,41249,-1
3,41264,-1
3,41284,-1
3,41349,-1
3,41416,-1
3,41458,-1
3,41464,-1
3,41477,-1
3,41486,-1
3,41517,-1
3,41524,-1
3,41540,-1
3,41541,-1
3,41544,-1
3,41564,-1
3,41570,-1
3,41576,-1
3,41601,-1
3,41624,-1
3,41625,-1
3,41633,-1
3,41641,-1
3,41657,-1
3,41680,-1
3,41689,-1
3,41691,-1
3,41692,-1
3,41729,-1
3,41754,-1
3,41757,-1
3,41759,-1
3,41811,-1
3,41836,-1
3,41907,-1
3,41910,-1
3,42064,-1
3,42142,-1
3,42148,-1
3,42185,-1
3,42197,-1
3,42397,-1
3,42398,-1
3,42420,-1
3,42422,-1
3,42424,-1
3,42449,-1
3,42451,-1
3,42463,-1
3,42481,-1
3,42496,-1
3,42498,-1
3,42538,-1
3,42582,-1
3,42587,-1
3,42676,-1
3,42762,-1
3,42784,-1
3,43050,-1
3,43139,-1
3,43206,-1
3,43227,-1
3,43236,-1
3,43314,-1
4,5,-1
4,6,-1
5,7971,-1
5,7972,-1
7,230,-1
9,94,-1
9,604,-1
9,619,-1
9,946,-1
9,1608,-1
9,1719,-1
9,1860,-1
9,3460,-1
9,3492,-1
9,7116,-1
9,7555,-1
9,7701,-1
9,8544,-1
9,8804,-1
9,10228,-1
9,10670,-1
9,12357,-1
9,12443,-1
9,15380,-1
9,17481,-1
9,17482,-1
9,21852,-1
9,30405,-1
9,34282,-1
10,12,-1
11,19311,-1
11,21270,-1
11,23065,-1
14,5,-1
14,11,-1
14,31,-1
14,74,-1
14,75,-1
14,151,-1
14,158,-1
14,251,-1
14,306,-1
14,317,-1
14,323,-1
14,460,-1
14,523,-1
14,556,-1
14,624,-1
