from,to,sign
0,21,-1
0,22,-1
0,23,-1
0,24,-1
0,25,-1
1,373,-1
1,489,-1
1,490,-1
1,491,-1
1,492,-1
1,493,-1
1,494,-1
1,495,-1
1,496,-1
1,497,-1
1,498,-1
1,499,-1
1,500,-1
1,501,-1
1,502,-1
1,503,-1
1,504,-1
1,505,-1
1,506,-1
1,507,-1
1,508,-1
1,509,-1
1,510,-1
1,511,-1
4,547,-1
4,548,-1
4,549,-1
4,550,-1
4,551,-1
5,382,-1
5,574,-1
5,575,-1
5,576,-1
5,577,-1
5,578,-1
5,579,-1
5,580,-1
6,56,-1
6,57,-1
6,70,-1
6,71,-1
6,72,-1
6,101,-1
6,167,-1
6,439,-1
6,476,-1
6,482,-1
6,626,-1
6,627,-1
6,628,-1
6,629,-1
6,630,-1
6,631,-1
6,632,-1
6,633,-1
6,634,-1
6,635,-1
6,636,-1
6,637,-1
6,638,-1
6,639,-1
6,640,-1
6,641,-1
6,642,-1
6,643,-1
6,644,-1
6,645,-1
6,646,-1
6,647,-1
6,648,-1
6,649,-1
6,650,-1
6,651,-1
6,652,-1
6,653,-1
6,654,-1
6,655,-1
6,656,-1
6,657,-1
6,658,-1
6,659,-1
6,660,-1
6,661,-1
6,662,-1
6,663,-1
6,664,-1
6,665,-1
6,666,-1
6,667,-1
6,668,-1
6,669,-1
6,670,-1
6,671,-1
6,672,-1
6,673,-1
6,674,-1
6,675,-1
6,676,-1
6,677,-1
6,678,-1
6,679,-1
6,680,-1
6,681,-1
6,682,-1
6,683,-1
6,684,-1
6,685,-1
6,686,-1
6,687,-1
6,688,-1
6,689,-1
6,690,-1
6,691,-1
6,692,-1
6,693,-1
6,694,-1
6,695,-1
6,696,-1
6,697,-1
6,698,-1
7,707,-1
8,940,-1
11,25,-1
11,585,-1
11,799,-1
11,983,-1
11,984,-1
11,985,-1
11,986,-1
11,987,-1
11,988,-1
11,989,-1
11,990,-1
11,991,-1
11,992,-1
13,663,-1
13,948,-1
13,956,-1
13,1084,-1
13,1085,-1
13,1086,-1
13,1087,-1
13,1088,-1
13,1089,-1
13,1090,-1
13,1091,-1
13,1092,-1
13,1093,-1
13,1094,-1
13,1095,-1
16,1106,-1
18,39,-1
18,546,-1
18,1113,-1
18,1114,-1
18,1115,-1
18,1116,-1
18,1117,-1
18,1118,-1
18,1119,-1
18,1120,-1
18,1121,-1
18,1122,-1
18,1123,-1
18,1124,-1
18,1125,-1
18,1126,-1
18,1127,-1
18,1128,-1
18,1129,-1
18,1130,-1
18,1131,-1
18,1132,-1
18,1133,-1
18,1134,-1
18,1135,-1
18,1136,-1
18,1137,-1
18,1138,-1
18,1139,-1
18,1140,-1
18,1141,-1
18,1142,-1
18,1143,-1
18,1144,-1
20,1147,-1
21,66,-1
21,74,-1
21,78,-1
21,500,-1
21,532,-1
21,548,-1
21,742,-1
21,838,-1
21,859,-1
21,884,-1
21,921,-1
21,1218,-1
21,1331,-1
21,1338,-1
21,1362,-1
21,1442,-1
21,1654,-1
21,1799,-1
21,1875,-1
21,2166,-1
21,2328,-1
21,2348,-1
21,2371,-1
21,2374,-1
21,2511,-1
21,2527,-1
21,2533,-1
21,2818,-1
21,3006,-1
21,3172,-1
21,3339,-1
21,4190,-1
21,4439,-1
21,5220,-1
21,5760,-1
21,5923,-1
21,6232,-1
21,6233,-1
21,6234,-1
21,6235,-1
21,6236,-1
21,6237,-1
21,6238,-1
21,6239,-1
21,6240,-1
21,6241,-1
21,6242,-1
21,6243,-1
21,6244,-1
21,6245,-1
21,6246,-1
21,6247,-1
21,6248,-1
21,6249,-1
21,6250,-1
21,6251,-1
22,0,-1
22,6252,-1
24,6253,-1
30,132,-1
30,1074,-1
30,3170,-1
30,6273,-1
31,549,-1
31,4599,-1
35,6276,-1
36,5850,-1
39,25,-1
39,50,-1
39,61,-1
39,101,-1
39,122,-1
39,129,-1
39,158,-1
39,370,-1
39,439,-1
39,482,-1
39,493,-1
39,497,-1
39,500,-1
39,511,-1
39,548,-1
39,550,-1
39,631,-1
39,634,-1
39,637,-1
39,646,-1
39,654,-1
39,694,-1
39,695,-1
39,698,-1
39,702,-1
39,705,-1
39,712,-1
39,791,-1
39,793,-1
39,890,-1
39,988,-1
39,1034,-1
39,1066,-1
39,1108,-1
39,1127,-1
39,1331,-1
39,1386,-1
39,1445,-1
39,1448,-1
39,1456,-1
39,1467,-1
39,1468,-1
39,1470,-1
39,1471,-1
39,1472,-1
39,1473,-1
39,1477,-1
39,1478,-1
39,1484,-1
39,1488,-1
39,1500,-1
39,1654,-1
39,1845,-1
39,1891,-1
39,1910,-1
39,1961,-1
39,1979,-1
39,1984,-1
39,1991,-1
39,1997,-1
39,2000,-1
39,2015,-1
39,2019,-1
39,2030,-1
39,2036,-1
39,2055,-1
39,2204,-1
39,2208,-1
39,2230,-1
39,2231,-1
39,2290,-1
39,2291,-1
39,2292,-1
39,2613,-1
39,2648,-1
39,2694,-1
39,2864,-1
39,2910,-1
39,2926,-1
39,3014,-1
39,3093,-1
39,3179,-1
39,3180,-1
39,3181,-1
39,3620,-1
39,3621,-1
39,3622,-1
39,3717,-1
39,3769,-1
39,3808,-1
39,3887,-1
39,3890,-1
39,3982,-1
39,4063,-1
39,4076,-1
39,4094,-1
39,4277,-1
39,4281,-1
39,4349,-1
39,4454,-1
39,4778,-1
39,4973,-1
39,5042,-1
39,5050,-1
