from,to,sign,timestamp
2,1,-1,1095173580
2,5,-1,1094953560
3,7,-1,1095193500
11,7,-1,1095223080
55,7,-1,1095269100
56,7,-1,1095279480
2,7,-1,1095306420
58,7,-1,1095318780
35,7,-1,1095322080
37,7,-1,1095323100
59,7,-1,1095342000
60,23,-1,1095338400
65,23,-1,1095621840
31,68,-1,1095374100
49,68,-1,1095379380
6,68,-1,1095448200
69,68,-1,1095710880
63,68,-1,1095723480
43,68,-1,1095732180
56,68,-1,1095894900
37,68,-1,1095999540
9,68,-1,1096004580
47,68,-1,1096019160
59,68,-1,1096047240
3,9,-1,1094650440
13,9,-1,1094736420
37,9,-1,1094795220
71,9,-1,1094807220
73,9,-1,1094937240
74,9,-1,1095084480
78,70,-1,1080536400
14,70,-1,1080555900
79,70,-1,1080559500
83,70,-1,1080606960
84,70,-1,1080610500
85,70,-1,1080647520
86,70,-1,1080649560
10,70,-1,1080727500
91,70,-1,1080748080
13,70,-1,1080750000
92,70,-1,1080757140
93,70,-1,1080762540
95,70,-1,1080811320
96,70,-1,1080816960
8,101,-1,1100026920
102,101,-1,1100027220
20,101,-1,1100027280
47,101,-1,1100027940
103,101,-1,1100028000
52,101,-1,1100028780
104,101,-1,1100029800
55,101,-1,1100030040
105,101,-1,1100035320
106,101,-1,1100035620
44,101,-1,1100036580
16,101,-1,1100037180
107,101,-1,1100037360
99,101,-1,1100037420
108,101,-1,1100040300
19,101,-1,1100041440
23,101,-1,1100041680
22,101,-1,1100041920
109,101,-1,1100042160
110,101,-1,1100042640
77,101,-1,1100044620
31,101,-1,1100046780
58,101,-1,1100062920
111,101,-1,1100067000
49,101,-1,1100067420
112,101,-1,1100073660
63,101,-1,1100094900
113,101,-1,1100108160
7,101,-1,1100126640
69,114,-1,1095710160
112,114,-1,1095861720
20,116,-1,1095709200
69,116,-1,1095709260
32,116,-1,1095710520
18,116,-1,1095717780
63,116,-1,1095723900
58,116,-1,1095726240
31,116,-1,1095779160
56,40,-1,1096046820
123,118,-1,1095834300
124,118,-1,1095834420
66,118,-1,1095834420
9,118,-1,1095841440
61,118,-1,1095843600
10,118,-1,1095845520
119,118,-1,1095847920
125,118,-1,1095858720
18,118,-1,1095862200
7,118,-1,1095872040
56,118,-1,1095894720
108,118,-1,1095899580
49,118,-1,1095900660
26,118,-1,1096064700
126,118,-1,1096129440
5,118,-1,1096141500
121,128,-1,1096385520
7,129,-1,1095872640
23,129,-1,1095873000
18,129,-1,1095876660
31,129,-1,1095894480
49,129,-1,1095900420
47,129,-1,1095998580
5,129,-1,1096140780
56,129,-1,1096317720
77,129,-1,1096419540
130,129,-1,1107172860
69,99,-1,1095902100
2,99,-1,1096261980
69,20,-1,1095903120
20,134,-1,1096000560
49,134,-1,1096003980
59,134,-1,1096046820
136,134,-1,1096377960
2,119,-1,1096261140
20,143,-1,1096838220
21,143,-1,1096846080
37,143,-1,1096857000
146,143,-1,1096897140
8,143,-1,1096897560
59,143,-1,1096901160
3,143,-1,1096902240
11,143,-1,1096903560
16,143,-1,1096916160
56,143,-1,1096918320
149,143,-1,1096923300
34,143,-1,1096958040
13,143,-1,1096973700
33,143,-1,1096999920
138,143,-1,1097038500
150,143,-1,1097052540
2,143,-1,1097086860
151,143,-1,1097091000
152,143,-1,1097097060
153,143,-1,1097098200
154,143,-1,1097102280
133,143,-1,1097104020
12,143,-1,1097118780
156,143,-1,1097185320
80,143,-1,1097194320
157,143,-1,1097206200
158,143,-1,1097355240
159,143,-1,1097391060
160,143,-1,1097392980
161,143,-1,1097394000
162,143,-1,1097394720
163,143,-1,1097395320
164,143,-1,1097395980
141,143,-1,1097396880
165,143,-1,1097397120
167,143,-1,1097423880
3,22,-1,1096943460
69,22,-1,1096951680
12,22,-1,1097118420
175,22,-1,1097177160
38,22,-1,1097179620
177,22,-1,1097283180
178,22,-1,1097335140
158,22,-1,1097354400
179,22,-1,1097381940
180,22,-1,1097401740
181,22,-1,1097436540
182,22,-1,1097482140
123,22,-1,1097567340
55,22,-1,1097615520
188,22,-1,1097623800
69,189,-1,1096951140
69,190,-1,1097158440
69,191,-1,1097436960
2,191,-1,1097440620
9,191,-1,1097562480
69,195,-1,1097511360
7,195,-1,1097518980
2,195,-1,1097520180
197,195,-1,1098077460
69,202,-1,1097706060
59,202,-1,1097706960
7,202,-1,1097708880
2,202,-1,1097715240
31,202,-1,1097717940
40,202,-1,1097809800
204,203,-1,1098377160
205,203,-1,1098378780
69,203,-1,1098383880
42,203,-1,1098387240
182,203,-1,1098395220
209,102,-1,1098528480
69,102,-1,1098586260
2,17,-1,1098056340
209,17,-1,1098528420
69,17,-1,1098586320
2,210,-1,1098132420
69,210,-1,1098402900
209,210,-1,1098528660
212,24,-1,1098296040
185,24,-1,1098652020
112,24,-1,1098683820
208,24,-1,1098702060
110,24,-1,1098705960
213,24,-1,1098709260
214,24,-1,1098709620
69,215,-1,1098292140
3,215,-1,1098298920
40,215,-1,1098330840
5,215,-1,1098373980
202,215,-1,1098377040
15,215,-1,1098395940
217,215,-1,1098405960
11,215,-1,1098449460
20,215,-1,1098567120
61,215,-1,1098568140
27,215,-1,1098576960
112,215,-1,1098588000
32,215,-1,1098629880
137,215,-1,1098669360
184,215,-1,1098685440
219,215,-1,1098700320
220,215,-1,1098714360
221,215,-1,1098748500
77,215,-1,1098790380
29,215,-1,1098823260
222,215,-1,1098852900
223,215,-1,1098884580
9,224,-1,1098351420
2,224,-1,1098387720
182,224,-1,1098395580
37,224,-1,1098532920
158,224,-1,1098577920
208,224,-1,1098612120
112,224,-1,1098683460
184,224,-1,1098685680
55,224,-1,1098702660
2,0,-1,1098358440
209,0,-1,1098528780
69,0,-1,1098585660
80,226,-1,1098682500
49,226,-1,1098682560
33,226,-1,1098682740
112,226,-1,1098682920
37,226,-1,1098684060
131,226,-1,1098684720
44,226,-1,1098698400
55,226,-1,1098701820
202,226,-1,1098702240
20,226,-1,1098704820
51,226,-1,1098711720
2,226,-1,1098712080
227,226,-1,1098728940
56,226,-1,1098733260
191,226,-1,1098737940
22,226,-1,1098746700
12,226,-1,1098779640
109,226,-1,1098781260
77,226,-1,1098790680
28,226,-1,1098807780
69,229,-1,1116962400
2,229,-1,1116964740
174,229,-1,1116986580
233,229,-1,1117020660
69,58,-1,1098831360
244,58,-1,1098923640
245,58,-1,1098954060
248,58,-1,1099319760
8,69,-1,1098937860
80,69,-1,1098939120
56,69,-1,1098939660
44,69,-1,1098939900
37,69,-1,1098941940
252,69,-1,1098946020
206,69,-1,1098947340
2,69,-1,1098956700
22,69,-1,1098968820
54,69,-1,1098969240
5,69,-1,1098969900
227,69,-1,1098970560
20,69,-1,1098970620
186,69,-1,1098980100
170,69,-1,1098995160
38,69,-1,1098998880
166,69,-1,1099040460
81,69,-1,1099064160
63,69,-1,1099069800
253,69,-1,1099396140
250,69,-1,1099419240
184,69,-1,1099439400
47,69,-1,1099465800
254,69,-1,1099513620
69,262,-1,1099377420
2,262,-1,1099427400
112,262,-1,1099594440
103,262,-1,1099620180
265,263,-1,1099566600
195,263,-1,1099593120
106,263,-1,1099607100
52,263,-1,1099713360
209,268,-1,1100035920
5,270,-1,1099578900
51,270,-1,1099581360
112,270,-1,1099594500
15,270,-1,1099597860
31,270,-1,1099600860
110,270,-1,1099608660
267,256,-1,1100028180
69,196,-1,1099883520
39,271,-1,1099882860
226,271,-1,1100141880
276,272,-1,1100110620
69,272,-1,1100189700
8,178,-1,1099979100
69,178,-1,1099979220
30,178,-1,1099979280
56,178,-1,1099979520
247,178,-1,1099979820
49,178,-1,1099980000
80,178,-1,1099980060
122,178,-1,1099984020
18,178,-1,1100018400
31,178,-1,1100018580
106,178,-1,1100050620
282,178,-1,1100070780
33,178,-1,1100070960
283,178,-1,1100398260
267,178,-1,1100426760
119,178,-1,1100520960
69,286,-1,1100033220
209,286,-1,1100035260
106,286,-1,1100037720
110,286,-1,1100055600
112,286,-1,1100075100
7,286,-1,1100126940
231,289,-1,1100333040
37,289,-1,1100339520
69,289,-1,1100405640
3,298,-1,1100484780
63,298,-1,1100492640
55,298,-1,1100548140
248,298,-1,1100555580
2,298,-1,1100562060
147,298,-1,1100618460
7,298,-1,1100645820
69,298,-1,1100843820
172,298,-1,1100876700
182,298,-1,1100960640
300,298,-1,1100976660
301,174,-1,1100909340
13,110,-1,1100735940
205,110,-1,1100737440
3,110,-1,1100776020
182,302,-1,1100959800
2,306,-1,1100726460
94,306,-1,1100731800
5,306,-1,1100746080
285,306,-1,1100758320
43,306,-1,1100838300
307,306,-1,1101069960
305,306,-1,1101182460
297,306,-1,1101317040
11,310,-1,1100786460
63,310,-1,1100789820
52,310,-1,1100841600
99,310,-1,1100895060
22,310,-1,1100897100
122,310,-1,1100929500
56,310,-1,1100932980
182,310,-1,1100959500
7,310,-1,1101003060
307,310,-1,1101070620
37,310,-1,1101086880
49,310,-1,1101105480
305,310,-1,1101182760
3,258,-1,1100881920
3,185,-1,1100915340
300,185,-1,1101275640
305,312,-1,1101348960
3,312,-1,1101352260
69,312,-1,1101353220
220,312,-1,1101354540
45,22,-1,1092535380
147,22,-1,1092601800
82,22,-1,1092611940
313,22,-1,1092612960
53,22,-1,1092619500
314,22,-1,1092623100
126,22,-1,1092625380
305,22,-1,1092655380
315,22,-1,1092663480
316,22,-1,1092683820
317,22,-1,1092716160
94,22,-1,1092716700
72,22,-1,1092751680
225,22,-1,1092752520
318,22,-1,1092753540
258,22,-1,1092766140
144,22,-1,1092769260
16,166,-1,1089499020
284,166,-1,1089499080
266,166,-1,1089499380
64,166,-1,1089500520
319,166,-1,1089500700
2,166,-1,1089502860
54,166,-1,1089503400
170,166,-1,1089507120
13,166,-1,1089508260
22,166,-1,1089508380
320,166,-1,1089511200
321,166,-1,1089511860
56,166,-1,1089513720
109,166,-1,1089515520
61,166,-1,1089535500
117,166,-1,1089544680
77,166,-1,1089552780
291,166,-1,1089560340
305,166,-1,1089561300
322,166,-1,1089562740
10,166,-1,1089568020
7,166,-1,1089573240
323,166,-1,1089586320
90,166,-1,1089608760
59,166,-1,1089637380
327,22,-1,1089404700
75,22,-1,1089434940
59,22,-1,1089648480
91,22,-1,1090030260
328,329,-1,1080513780
226,329,-1,1080513960
6,329,-1,1080652800
170,329,-1,1080674700
327,149,-1,1082340900
15,149,-1,1082382240
6,149,-1,1082384340
200,149,-1,1082393340
59,149,-1,1082393880
330,149,-1,1082401500
54,149,-1,1082404860
250,149,-1,1082405820
83,149,-1,1082429520
305,149,-1,1082433840
94,149,-1,1082497860
331,149,-1,1082565060
76,87,-1,1080493920
78,87,-1,1080494520
96,87,-1,1080496500
89,87,-1,1080496920
57,87,-1,1080593100
284,87,-1,1080647100
332,87,-1,1080761460
308,87,-1,1080772980
2,333,-1,1089671640
56,333,-1,1089689280
291,333,-1,1089712800
54,333,-1,1089731580
305,333,-1,1089807060
56,334,-1,1081815900
325,334,-1,1081816980
218,334,-1,1081818000
14,334,-1,1081818180
274,334,-1,1081818240
16,334,-1,1081818420
284,334,-1,1081818600
67,334,-1,1081819200
89,334,-1,1081830300
59,334,-1,1081900860
18,334,-1,1081905960
90,334,-1,1081907760
123,334,-1,1081919460
133,334,-1,1081947360
305,334,-1,1081961820
13,334,-1,1082067660
92,334,-1,1082076900
335,334,-1,1082142360
336,334,-1,1082148540
337,334,-1,1082319480
75,338,-1,1084985700
54,338,-1,1084985820
94,338,-1,1085023500
89,338,-1,1085025960
92,338,-1,1085070360
10,339,-1,1088737260
49,339,-1,1088737920
320,339,-1,1088779260
89,339,-1,1088781600
64,339,-1,1088929380
75,340,-1,1089124080
341,340,-1,1089126840
120,81,-1,1086696600
326,81,-1,1086698400
192,81,-1,1086699240
6,81,-1,1086701700
81,81,-1,1086750120
327,81,-1,1086794100
59,81,-1,1086814980
305,81,-1,1086819000
14,215,-1,1092000360
53,215,-1,1092004680
305,215,-1,1092005880
18,215,-1,1092007200
41,215,-1,1092013020
284,215,-1,1092055260
168,215,-1,1092056580
59,215,-1,1092056640
277,215,-1,1092068220
225,215,-1,1092300660
244,215,-1,1092416400
38,215,-1,1092420060
250,215,-1,1092445500
258,215,-1,1092518700
52,215,-1,1092564300
282,7,-1,1087538760
319,7,-1,1087566900
344,7,-1,1087643580
345,7,-1,1087727460
83,7,-1,1087758300
346,7,-1,1087813680
347,229,-1,1088628000
320,229,-1,1088628300
75,229,-1,1088649840
10,229,-1,1088658840
305,229,-1,1088691720
348,229,-1,1088718000
89,39,-1,1083883740
55,39,-1,1083939060
75,39,-1,1084055100
78,349,-1,1083999180
75,349,-1,1084054980
89,349,-1,1084128120
266,349,-1,1084152240
8,349,-1,1084152600
77,349,-1,1084180740
350,349,-1,1084200540
59,349,-1,1084298220
54,351,-1,1090939620
2,351,-1,1090939680
44,351,-1,1090940040
328,351,-1,1090942620
324,351,-1,1090949880
56,351,-1,1090953240
22,351,-1,1090957200
117,351,-1,1090959900
352,351,-1,1090964040
305,351,-1,1090974900
353,351,-1,1091007900
123,351,-1,1091027460
74,351,-1,1091035620
313,351,-1,1091052300
80,354,-1,1088808180
54,354,-1,1088808540
61,354,-1,1088809740
64,354,-1,1088810460
280,354,-1,1088811180
274,354,-1,1088811540
325,354,-1,1088815560
56,354,-1,1088826600
305,354,-1,1088828280
330,355,-1,1083434460
89,355,-1,1083451680
13,355,-1,1083539760
59,355,-1,1083796440
55,355,-1,1083876480
327,355,-1,1083945540
6,356,-1,1084382700
59,356,-1,1084398360
356,356,-1,1084399980
13,356,-1,1084409820
55,356,-1,1084477620
15,356,-1,1084480560
357,356,-1,1084573560
92,356,-1,1084842480
319,356,-1,1085003940
57,356,-1,1085006460
55,358,-1,1085933040
327,358,-1,1085933340
89,358,-1,1085933640
94,358,-1,1085948340
80,358,-1,1086064020
359,358,-1,1086079440
326,358,-1,1086098880
280,358,-1,1086107580
59,358,-1,1086114300
360,358,-1,1086145260
348,358,-1,1086274860
342,358,-1,1086280320
166,358,-1,1086312180
80,44,-1,1088699520
361,44,-1,1088700300
15,44,-1,1088701500
18,278,-1,1082939100
327,278,-1,1082939220
14,278,-1,1082939460
80,278,-1,1082940600
305,278,-1,1082947740
55,278,-1,1082960940
92,278,-1,1082974380
36,278,-1,1083000720
13,278,-1,1083009120
170,278,-1,1083012300
45,278,-1,1083109440
83,278,-1,1083123300
149,278,-1,1083126360
362,278,-1,1083128820
146,278,-1,1083158520
342,54,-1,1090828860
43,54,-1,1090957200
166,54,-1,1090958400
4,54,-1,1091048040
313,54,-1,1091049240
63,54,-1,1091116380
123,54,-1,1091221560
3,54,-1,1091274840
3,44,-1,1093934100
365,44,-1,1094241720
3,208,-1,1101619620
44,208,-1,1101707160
2,208,-1,1101743820
300,208,-1,1101756780
244,208,-1,1101881460
285,208,-1,1101946500
373,208,-1,1101973020
20,208,-1,1102046580
58,208,-1,1102064280
52,117,-1,1101965700
375,117,-1,1101991260
3,117,-1,1102033080
378,117,-1,1102046400
69,117,-1,1102083900
372,117,-1,1102089540
53,117,-1,1102411140
267,117,-1,1102444680
22,45,-1,1102081020
37,45,-1,1102081620
3,45,-1,1102084380
305,45,-1,1102089480
8,45,-1,1102096680
106,45,-1,1102120320
28,45,-1,1102133100
11,45,-1,1102145040
260,45,-1,1102178280
274,45,-1,1102211940
62,45,-1,1102232940
97,45,-1,1102271700
285,45,-1,1102291860
110,45,-1,1102297020
380,45,-1,1102344600
254,45,-1,1102377360
267,45,-1,1102444740
253,45,-1,1102525320
138,45,-1,1102535340
41,45,-1,1102555440
117,382,-1,1102570200
41,29,-1,1102742820
299,29,-1,1102744560
69,29,-1,1102752060
247,29,-1,1102752360
385,29,-1,1102753020
386,29,-1,1102753500
362,29,-1,1102761540
20,29,-1,1102783920
119,29,-1,1102813800
37,29,-1,1102824960
3,116,-1,1102623180
377,116,-1,1102924680
285,387,-1,1102649580
104,387,-1,1102700220
254,387,-1,1102705440
99,387,-1,1102819740
300,387,-1,1102911240
69,293,-1,1103140680
142,293,-1,1103631180
220,293,-1,1103649180
94,293,-1,1103652060
18,293,-1,1103663880
48,390,-1,1103852520
3,389,-1,1103568540
7,389,-1,1103580120
110,389,-1,1103582400
193,389,-1,1103607660
18,389,-1,1103609820
195,389,-1,1103610900
275,389,-1,1103611320
49,389,-1,1103614920
139,389,-1,1103624280
300,389,-1,1103638260
291,389,-1,1103645580
384,389,-1,1103680320
254,389,-1,1103691720
48,389,-1,1103847000
48,391,-1,1103846880
3,393,-1,1103706540
41,393,-1,1103719020
2,393,-1,1103744160
48,393,-1,1103846820
13,393,-1,1104048240
285,393,-1,1104054540
394,393,-1,1104172200
22,395,-1,1104126540
69,396,-1,1103901960
5,396,-1,1103953860
161,396,-1,1104054780
382,396,-1,1104134520
247,396,-1,1104460860
89,399,-1,1104294900
401,400,-1,1104051420
58,400,-1,1104055200
185,400,-1,1104075960
5,400,-1,1104091140
230,400,-1,1104111360
384,400,-1,1104119460
206,400,-1,1104129840
9,400,-1,1104130740
89,402,-1,1104296040
403,402,-1,1104296460
285,402,-1,1104384240
69,134,-1,1104247920
89,134,-1,1104295740
285,134,-1,1104298440
5,134,-1,1104348840
404,134,-1,1104530100
384,134,-1,1104543840
405,134,-1,1104704160
69,407,-1,1105135680
69,408,-1,1105134840
285,408,-1,1105313460
69,173,-1,1105134720
